"plot","year","woody","native","hfi","un50","ov50","x","y","terrace","dem.altitude","fenced","oversown"
"AR-1-Fe",2008,"Woody","Native",3,3,0,1589261.4433986,5317373.33287392,"Terrace",1171,"fenced","natural"
"AR-1-Fe",2016,"Herbaceous","Exotic",115,115,0,1589261.4433986,5317373.33287392,"Terrace",1171,"fenced","natural"
"AR-1-Fe",2016,"Herbaceous","Native",184,159,25,1589261.4433986,5317373.33287392,"Terrace",1171,"fenced","natural"
"AR-1-Fe",2008,"Herbaceous","Native",79,79,0,1589261.4433986,5317373.33287392,"Terrace",1171,"fenced","natural"
"AR-1-Un",2008,"Herbaceous","Exotic",56,56,0,1589268.44021765,5317367.3340098,"Terrace",1173,"unfenced","natural"
"AR-1-Un",2008,"Woody","Native",3,3,0,1589268.44021765,5317367.3340098,"Terrace",1173,"unfenced","natural"
"AR-1-Un",2016,"Herbaceous","Native",88,86,2,1589268.44021765,5317367.3340098,"Terrace",1173,"unfenced","natural"
"AR-1-Un",2016,"Herbaceous","Exotic",91,91,0,1589268.44021765,5317367.3340098,"Terrace",1173,"unfenced","natural"
"AR-1-Un",2016,"Woody","Native",5,5,0,1589268.44021765,5317367.3340098,"Terrace",1173,"unfenced","natural"
"AR-1-Un",2008,"Herbaceous","Native",61,61,0,1589268.44021765,5317367.3340098,"Terrace",1173,"unfenced","natural"
"AR-2-Fe",2008,"Herbaceous","Exotic",5,5,0,1589351.43474763,5317542.26326071,"Slope",1200,"fenced","natural"
"AR-2-Fe",2016,"Woody","Native",37,37,0,1589351.43474763,5317542.26326071,"Slope",1200,"fenced","natural"
"AR-2-Fe",2008,"Herbaceous","Native",177,172,5,1589351.43474763,5317542.26326071,"Slope",1200,"fenced","natural"
"AR-2-Fe",2016,"Herbaceous","Exotic",17,17,0,1589351.43474763,5317542.26326071,"Slope",1200,"fenced","natural"
"AR-2-Fe",2016,"Herbaceous","Native",223,219,4,1589351.43474763,5317542.26326071,"Slope",1200,"fenced","natural"
"AR-2-Fe",2008,"Woody","Native",17,17,0,1589351.43474763,5317542.26326071,"Slope",1200,"fenced","natural"
"AR-2-Un",2016,"Herbaceous","Exotic",9,9,0,1589353.43367032,5317539.26402507,"Slope",1200,"unfenced","natural"
"AR-2-Un",2008,"Herbaceous","Exotic",8,8,0,1589353.43367032,5317539.26402507,"Slope",1200,"unfenced","natural"
"AR-2-Un",2016,"Herbaceous","Native",72,72,0,1589353.43367032,5317539.26402507,"Slope",1200,"unfenced","natural"
"AR-2-Un",2008,"Herbaceous","Native",46,46,0,1589353.43367032,5317539.26402507,"Slope",1200,"unfenced","natural"
"AR-2-Un",2008,"Woody","Native",10,10,0,1589353.43367032,5317539.26402507,"Slope",1200,"unfenced","natural"
"AR-2-Un",2016,"Woody","Native",34,34,0,1589353.43367032,5317539.26402507,"Slope",1200,"unfenced","natural"
"AR-3-Fe",2008,"Herbaceous","Native",116,113,3,1589039.49787045,5317209.41805961,"Terrace",1266,"fenced","natural"
"AR-3-Fe",2008,"Herbaceous","Exotic",19,19,0,1589039.49787045,5317209.41805961,"Terrace",1266,"fenced","natural"
"AR-3-Fe",2008,"Woody","Native",9,9,0,1589039.49787045,5317209.41805961,"Terrace",1266,"fenced","natural"
"AR-3-Fe",2016,"Woody","Native",11,11,0,1589039.49787045,5317209.41805961,"Terrace",1266,"fenced","natural"
"AR-3-Fe",2016,"Herbaceous","Native",132,132,0,1589039.49787045,5317209.41805961,"Terrace",1266,"fenced","natural"
"AR-3-Fe",2016,"Herbaceous","Exotic",29,29,0,1589039.49787045,5317209.41805961,"Terrace",1266,"fenced","natural"
"AR-3-Un",2008,"Woody","Native",23,23,0,1589047.4944788,5317204.4187226,"Terrace",1266,"unfenced","natural"
"AR-3-Un",2016,"Woody","Native",28,28,0,1589047.4944788,5317204.4187226,"Terrace",1266,"unfenced","natural"
"AR-3-Un",2008,"Herbaceous","Exotic",32,32,0,1589047.4944788,5317204.4187226,"Terrace",1266,"unfenced","natural"
"AR-3-Un",2016,"Herbaceous","Native",90,90,0,1589047.4944788,5317204.4187226,"Terrace",1266,"unfenced","natural"
"AR-3-Un",2008,"Herbaceous","Native",96,96,0,1589047.4944788,5317204.4187226,"Terrace",1266,"unfenced","natural"
"AR-3-Un",2016,"Herbaceous","Exotic",40,40,0,1589047.4944788,5317204.4187226,"Terrace",1266,"unfenced","natural"
"B1",2016,"Herbaceous","Exotic",5,5,0,1587686.4974612,5336458.01474216,"Slope",1429,"unfenced","natural"
"B1",2007,"Herbaceous","Native",189,188,1,1587686.4974612,5336458.01474216,"Slope",1429,"unfenced","natural"
"B1",2007,"Woody","Native",51,51,0,1587686.4974612,5336458.01474216,"Slope",1429,"unfenced","natural"
"B1",2016,"Woody","Native",50,50,0,1587686.4974612,5336458.01474216,"Slope",1429,"unfenced","natural"
"B1",2016,"Herbaceous","Native",197,197,0,1587686.4974612,5336458.01474216,"Slope",1429,"unfenced","natural"
"B2",2007,"Woody","Native",331,310,21,1587609.48599839,5336171.12306958,"Slope",1352,"unfenced","natural"
"B2",2016,"Herbaceous","Native",33,33,0,1587609.48599839,5336171.12306958,"Slope",1352,"unfenced","natural"
"B2",2007,"Herbaceous","Native",44,44,0,1587609.48599839,5336171.12306958,"Slope",1352,"unfenced","natural"
"B2",2016,"Woody","Native",327,310,17,1587609.48599839,5336171.12306958,"Slope",1352,"unfenced","natural"
"B2",2007,"Herbaceous","Exotic",113,113,0,1587609.48599839,5336171.12306958,"Slope",1352,"unfenced","natural"
"B2",2016,"Herbaceous","Exotic",84,84,0,1587609.48599839,5336171.12306958,"Slope",1352,"unfenced","natural"
"B3",2007,"Woody","Native",236,166,70,1587536.48896893,5336004.18981694,"Terrace",1302,"unfenced","natural"
"B3",2016,"Woody","Native",302,258,44,1587536.48896893,5336004.18981694,"Terrace",1302,"unfenced","natural"
"B3",2007,"Herbaceous","Native",119,119,0,1587536.48896893,5336004.18981694,"Terrace",1302,"unfenced","natural"
"B3",2007,"Herbaceous","Exotic",48,48,0,1587536.48896893,5336004.18981694,"Terrace",1302,"unfenced","natural"
"B3",2016,"Herbaceous","Native",114,114,0,1587536.48896893,5336004.18981694,"Terrace",1302,"unfenced","natural"
"B3",2016,"Herbaceous","Exotic",74,74,0,1587536.48896893,5336004.18981694,"Terrace",1302,"unfenced","natural"
"B4",2016,"Herbaceous","Native",137,137,0,1587483.48153628,5335810.26316501,"Slope",1310,"unfenced","natural"
"B4",2007,"Herbaceous","Native",132,132,0,1587483.48153628,5335810.26316501,"Slope",1310,"unfenced","natural"
"B4",2007,"Herbaceous","Exotic",31,31,0,1587483.48153628,5335810.26316501,"Slope",1310,"unfenced","natural"
"B4",2016,"Herbaceous","Exotic",48,48,0,1587483.48153628,5335810.26316501,"Slope",1310,"unfenced","natural"
"C1",2007,"Herbaceous","Exotic",19,19,0,1596637.6716786,5338231.23183265,"Slope",1420,"fenced","natural"
"C1",2007,"Woody","Native",7,7,0,1596637.6716786,5338231.23183265,"Slope",1420,"fenced","natural"
"C1",2007,"Herbaceous","Native",46,46,0,1596637.6716786,5338231.23183265,"Slope",1420,"fenced","natural"
"C1",2016,"Herbaceous","Exotic",29,29,0,1596637.6716786,5338231.23183265,"Slope",1420,"fenced","natural"
"C1",2016,"Herbaceous","Native",46,46,0,1596637.6716786,5338231.23183265,"Slope",1420,"fenced","natural"
"C1",2016,"Woody","Native",26,26,0,1596637.6716786,5338231.23183265,"Slope",1420,"fenced","natural"
"C2",2007,"Herbaceous","Native",227,225,2,1596584.66599968,5338050.30051062,"Slope",1447,"fenced","natural"
"C2",2016,"Herbaceous","Native",451,418,33,1596584.66599968,5338050.30051062,"Slope",1447,"fenced","natural"
"C2",2016,"Herbaceous","Exotic",62,62,0,1596584.66599968,5338050.30051062,"Slope",1447,"fenced","natural"
"C2",2007,"Herbaceous","Exotic",39,39,0,1596584.66599968,5338050.30051062,"Slope",1447,"fenced","natural"
"C2",2016,"Woody","Native",7,7,0,1596584.66599968,5338050.30051062,"Slope",1447,"fenced","natural"
"C2",2007,"Woody","Native",3,3,0,1596584.66599968,5338050.30051062,"Slope",1447,"fenced","natural"
"C3",2007,"Woody","Native",18,18,0,1596509.6686063,5337875.37003437,"Slope",1421,"fenced","natural"
"C3",2016,"Herbaceous","Exotic",22,22,0,1596509.6686063,5337875.37003437,"Slope",1421,"fenced","natural"
"C3",2016,"Woody","Native",42,42,0,1596509.6686063,5337875.37003437,"Slope",1421,"fenced","natural"
"C3",2007,"Herbaceous","Native",5,5,0,1596509.6686063,5337875.37003437,"Slope",1421,"fenced","natural"
"C3",2016,"Herbaceous","Native",185,164,21,1596509.6686063,5337875.37003437,"Slope",1421,"fenced","natural"
"C4",2016,"Herbaceous","Exotic",37,37,0,1596437.67202434,5337714.43439458,"Slope",1342,"fenced","natural"
"C4",2007,"Woody","Native",22,22,0,1596437.67202434,5337714.43439458,"Slope",1342,"fenced","natural"
"C4",2016,"Herbaceous","Native",301,286,15,1596437.67202434,5337714.43439458,"Slope",1342,"fenced","natural"
"C4",2007,"Herbaceous","Native",184,174,10,1596437.67202434,5337714.43439458,"Slope",1342,"fenced","natural"
"C4",2016,"Woody","Native",56,56,0,1596437.67202434,5337714.43439458,"Slope",1342,"fenced","natural"
"C4",2007,"Herbaceous","Exotic",29,29,0,1596437.67202434,5337714.43439458,"Slope",1342,"fenced","natural"
"CC-1-Fe",2016,"Herbaceous","Exotic",142,142,0,1590077.68350949,5328907.28114395,"Terrace",1095,"fenced","natural"
"CC-1-Fe",2008,"Herbaceous","Native",16,16,0,1590077.68350949,5328907.28114395,"Terrace",1095,"fenced","natural"
"CC-1-Fe",2016,"Woody","Native",37,37,0,1590077.68350949,5328907.28114395,"Terrace",1095,"fenced","natural"
"CC-1-Fe",2008,"Herbaceous","Exotic",107,107,0,1590077.68350949,5328907.28114395,"Terrace",1095,"fenced","natural"
"CC-1-Fe",2016,"Herbaceous","Native",22,22,0,1590077.68350949,5328907.28114395,"Terrace",1095,"fenced","natural"
"CC-1-Fe",2008,"Woody","Native",5,5,0,1590077.68350949,5328907.28114395,"Terrace",1095,"fenced","natural"
"CC-1-Un",2016,"Herbaceous","Exotic",148,148,0,1590091.67846163,5328905.27998021,"Terrace",1094,"unfenced","natural"
"CC-1-Un",2008,"Herbaceous","Exotic",87,87,0,1590091.67846163,5328905.27998021,"Terrace",1094,"unfenced","natural"
"CC-1-Un",2016,"Woody","Native",25,25,0,1590091.67846163,5328905.27998021,"Terrace",1094,"unfenced","natural"
"CC-1-Un",2016,"Herbaceous","Native",61,61,0,1590091.67846163,5328905.27998021,"Terrace",1094,"unfenced","natural"
"CC-1-Un",2008,"Herbaceous","Native",43,43,0,1590091.67846163,5328905.27998021,"Terrace",1094,"unfenced","natural"
"CC-1-Un",2008,"Woody","Native",7,7,0,1590091.67846163,5328905.27998021,"Terrace",1094,"unfenced","natural"
"CC-2-Fe",2016,"Woody","Native",13,13,0,1590050.68534688,5328851.30384241,"Terrace",1090,"fenced","natural"
"CC-2-Fe",2008,"Herbaceous","Native",61,54,7,1590050.68534688,5328851.30384241,"Terrace",1090,"fenced","natural"
"CC-2-Fe",2016,"Herbaceous","Exotic",241,241,0,1590050.68534688,5328851.30384241,"Terrace",1090,"fenced","natural"
"CC-2-Fe",2008,"Woody","Native",16,16,0,1590050.68534688,5328851.30384241,"Terrace",1090,"fenced","natural"
"CC-2-Fe",2016,"Herbaceous","Native",46,46,0,1590050.68534688,5328851.30384241,"Terrace",1090,"fenced","natural"
"CC-2-Fe",2008,"Herbaceous","Exotic",321,321,0,1590050.68534688,5328851.30384241,"Terrace",1090,"fenced","natural"
"CC-2-Un",2008,"Herbaceous","Exotic",323,323,0,1590055.67440246,5328781.32710278,"Terrace",1085,"unfenced","natural"
"CC-2-Un",2016,"Herbaceous","Native",64,64,0,1590055.67440246,5328781.32710278,"Terrace",1085,"unfenced","natural"
"CC-2-Un",2016,"Herbaceous","Exotic",356,354,2,1590055.67440246,5328781.32710278,"Terrace",1085,"unfenced","natural"
"CC-2-Un",2008,"Herbaceous","Native",101,101,0,1590055.67440246,5328781.32710278,"Terrace",1085,"unfenced","natural"
"CC-3-Fe",2016,"Herbaceous","Exotic",118,118,0,1589979.69852522,5328767.3419143,"Terrace",1093,"fenced","natural"
"CC-3-Fe",2016,"Woody","Native",3,3,0,1589979.69852522,5328767.3419143,"Terrace",1093,"fenced","natural"
"CC-3-Fe",2016,"Herbaceous","Native",53,53,0,1589979.69852522,5328767.3419143,"Terrace",1093,"fenced","natural"
"CC-3-Fe",2008,"Herbaceous","Native",32,32,0,1589979.69852522,5328767.3419143,"Terrace",1093,"fenced","natural"
"CC-3-Fe",2008,"Herbaceous","Exotic",55,55,0,1589979.69852522,5328767.3419143,"Terrace",1093,"fenced","natural"
"CC-3-Un",2008,"Herbaceous","Exotic",116,116,0,1590018.68533052,5328768.33642691,"Terrace",1088,"unfenced","natural"
"CC-3-Un",2016,"Herbaceous","Native",66,66,0,1590018.68533052,5328768.33642691,"Terrace",1088,"unfenced","natural"
"CC-3-Un",2008,"Herbaceous","Native",81,81,0,1590018.68533052,5328768.33642691,"Terrace",1088,"unfenced","natural"
"CC-3-Un",2016,"Herbaceous","Exotic",156,156,0,1590018.68533052,5328768.33642691,"Terrace",1088,"unfenced","natural"
"D1",2016,"Herbaceous","Native",47,47,0,1601083.41602945,5340202.97692655,"Terrace",1000,"unfenced","natural"
"D1",2016,"Woody","Exotic",5,0,5,1601083.41602945,5340202.97692655,"Terrace",1000,"unfenced","natural"
"D1",2016,"Herbaceous","Exotic",338,338,0,1601083.41602945,5340202.97692655,"Terrace",1000,"unfenced","natural"
"D1",2007,"Herbaceous","Native",17,17,0,1601083.41602945,5340202.97692655,"Terrace",1000,"unfenced","natural"
"D1",2007,"Herbaceous","Exotic",241,241,0,1601083.41602945,5340202.97692655,"Terrace",1000,"unfenced","natural"
"D2",2007,"Herbaceous","Native",19,19,0,1601161.41374519,5340387.90381066,"Terrace",1016,"unfenced","natural"
"D2",2007,"Woody","Native",1,1,0,1601161.41374519,5340387.90381066,"Terrace",1016,"unfenced","natural"
"D2",2007,"Herbaceous","Exotic",88,88,0,1601161.41374519,5340387.90381066,"Terrace",1016,"unfenced","natural"
"D2",2016,"Woody","Native",10,10,0,1601161.41374519,5340387.90381066,"Terrace",1016,"unfenced","natural"
"D2",2016,"Herbaceous","Native",37,37,0,1601161.41374519,5340387.90381066,"Terrace",1016,"unfenced","natural"
"D2",2016,"Herbaceous","Exotic",124,124,0,1601161.41374519,5340387.90381066,"Terrace",1016,"unfenced","natural"
"D3",2016,"Herbaceous","Native",220,213,7,1601235.41386361,5340580.82850772,"Slope",1037,"unfenced","natural"
"D3",2016,"Herbaceous","Exotic",353,353,0,1601235.41386361,5340580.82850772,"Slope",1037,"unfenced","natural"
"D3",2007,"Woody","Exotic",4,0,4,1601235.41386361,5340580.82850772,"Slope",1037,"unfenced","natural"
"D3",2007,"Herbaceous","Native",146,145,1,1601235.41386361,5340580.82850772,"Slope",1037,"unfenced","natural"
"D3",2016,"Woody","Exotic",7,2,5,1601235.41386361,5340580.82850772,"Slope",1037,"unfenced","natural"
"D3",2007,"Herbaceous","Exotic",188,186,2,1601235.41386361,5340580.82850772,"Slope",1037,"unfenced","natural"
"D4",2016,"Woody","Native",46,46,0,1601310.41219661,5340762.75682193,"Slope",1064,"unfenced","natural"
"D4",2016,"Herbaceous","Exotic",59,59,0,1601310.41219661,5340762.75682193,"Slope",1064,"unfenced","natural"
"D4",2007,"Herbaceous","Native",46,46,0,1601310.41219661,5340762.75682193,"Slope",1064,"unfenced","natural"
"D4",2016,"Woody","Exotic",1,1,0,1601310.41219661,5340762.75682193,"Slope",1064,"unfenced","natural"
"D4",2007,"Woody","Native",20,20,0,1601310.41219661,5340762.75682193,"Slope",1064,"unfenced","natural"
"D4",2016,"Herbaceous","Native",107,107,0,1601310.41219661,5340762.75682193,"Slope",1064,"unfenced","natural"
"D4",2007,"Herbaceous","Exotic",58,58,0,1601310.41219661,5340762.75682193,"Slope",1064,"unfenced","natural"
"F1",2007,"Herbaceous","Native",31,31,0,1590112.25586422,5325757.3533346,"Slope",1346,"unfenced","natural"
"F1",2007,"Herbaceous","Exotic",29,29,0,1590112.25586422,5325757.3533346,"Slope",1346,"unfenced","natural"
"F1",2016,"Herbaceous","Exotic",25,25,0,1590112.25586422,5325757.3533346,"Slope",1346,"unfenced","natural"
"F1",2016,"Herbaceous","Native",25,25,0,1590112.25586422,5325757.3533346,"Slope",1346,"unfenced","natural"
"F2",2016,"Herbaceous","Native",21,21,0,1590049.25589949,5325594.41735119,"Slope",1384,"unfenced","natural"
"F2",2007,"Herbaceous","Native",31,31,0,1590049.25589949,5325594.41735119,"Slope",1384,"unfenced","natural"
"F2",2007,"Herbaceous","Exotic",14,14,0,1590049.25589949,5325594.41735119,"Slope",1384,"unfenced","natural"
"F2",2016,"Herbaceous","Exotic",12,12,0,1590049.25589949,5325594.41735119,"Slope",1384,"unfenced","natural"
"F3",2007,"Woody","Native",43,43,0,1589995.25061888,5325414.48599094,"Slope",1428,"unfenced","natural"
"F3",2016,"Woody","Native",78,78,0,1589995.25061888,5325414.48599094,"Slope",1428,"unfenced","natural"
"F3",2016,"Herbaceous","Native",87,87,0,1589995.25061888,5325414.48599094,"Slope",1428,"unfenced","natural"
"F3",2007,"Herbaceous","Native",34,33,1,1589995.25061888,5325414.48599094,"Slope",1428,"unfenced","natural"
"F3",2016,"Herbaceous","Exotic",10,10,0,1589995.25061888,5325414.48599094,"Slope",1428,"unfenced","natural"
"F4",2007,"Herbaceous","Exotic",4,4,0,1589915.2531713,5325226.56079301,"Slope",1367,"unfenced","natural"
"F4",2007,"Herbaceous","Native",167,167,0,1589915.2531713,5325226.56079301,"Slope",1367,"unfenced","natural"
"F4",2016,"Herbaceous","Native",237,237,0,1589915.2531713,5325226.56079301,"Slope",1367,"unfenced","natural"
"F4",2007,"Woody","Native",1,1,0,1589915.2531713,5325226.56079301,"Slope",1367,"unfenced","natural"
"F4",2016,"Herbaceous","Exotic",9,9,0,1589915.2531713,5325226.56079301,"Slope",1367,"unfenced","natural"
"F4",2016,"Woody","Native",19,19,0,1589915.2531713,5325226.56079301,"Slope",1367,"unfenced","natural"
"G1",2007,"Woody","Native",11,11,0,1593492.10863508,5325820.88531847,"Slope",1464,"unfenced","natural"
"G1",2016,"Woody","Native",27,27,0,1593492.10863508,5325820.88531847,"Slope",1464,"unfenced","natural"
"G1",2016,"Herbaceous","Native",62,60,2,1593492.10863508,5325820.88531847,"Slope",1464,"unfenced","natural"
"G1",2007,"Herbaceous","Native",34,34,0,1593492.10863508,5325820.88531847,"Slope",1464,"unfenced","natural"
"G1",2016,"Herbaceous","Exotic",19,19,0,1593492.10863508,5325820.88531847,"Slope",1464,"unfenced","natural"
"G1",2007,"Herbaceous","Exotic",8,8,0,1593492.10863508,5325820.88531847,"Slope",1464,"unfenced","natural"
"G2",2007,"Herbaceous","Native",83,82,1,1593436.11180076,5325699.93407866,"Slope",1413,"unfenced","natural"
"G2",2016,"Herbaceous","Native",170,150,20,1593436.11180076,5325699.93407866,"Slope",1413,"unfenced","natural"
"G2",2016,"Herbaceous","Exotic",32,32,0,1593436.11180076,5325699.93407866,"Slope",1413,"unfenced","natural"
"G2",2007,"Herbaceous","Exotic",21,21,0,1593436.11180076,5325699.93407866,"Slope",1413,"unfenced","natural"
"G3",2016,"Herbaceous","Exotic",170,170,0,1593369.11133383,5325523.00343698,"Slope",1300,"unfenced","natural"
"G3",2007,"Woody","Native",2,2,0,1593369.11133383,5325523.00343698,"Slope",1300,"unfenced","natural"
"G3",2016,"Woody","Native",2,2,0,1593369.11133383,5325523.00343698,"Slope",1300,"unfenced","natural"
"G3",2007,"Herbaceous","Exotic",84,84,0,1593369.11133383,5325523.00343698,"Slope",1300,"unfenced","natural"
"G3",2007,"Herbaceous","Native",156,156,0,1593369.11133383,5325523.00343698,"Slope",1300,"unfenced","natural"
"G3",2016,"Herbaceous","Native",382,382,0,1593369.11133383,5325523.00343698,"Slope",1300,"unfenced","natural"
"G4",2016,"Herbaceous","Exotic",20,20,0,1593307.11034806,5325355.06905967,"Slope",1220,"unfenced","natural"
"G4",2007,"Herbaceous","Native",38,38,0,1593307.11034806,5325355.06905967,"Slope",1220,"unfenced","natural"
"G4",2016,"Herbaceous","Native",47,47,0,1593307.11034806,5325355.06905967,"Slope",1220,"unfenced","natural"
"G4",2016,"Woody","Native",62,53,9,1593307.11034806,5325355.06905967,"Slope",1220,"unfenced","natural"
"G4",2007,"Herbaceous","Exotic",7,7,0,1593307.11034806,5325355.06905967,"Slope",1220,"unfenced","natural"
"G4",2007,"Woody","Native",18,18,0,1593307.11034806,5325355.06905967,"Slope",1220,"unfenced","natural"
"H1",2016,"Woody","Exotic",1,1,0,1597788.79282729,5319434.50349354,"Slope",1112,"unfenced","natural"
"H1",2016,"Herbaceous","Exotic",75,75,0,1597788.79282729,5319434.50349354,"Slope",1112,"unfenced","natural"
"H1",2007,"Herbaceous","Exotic",58,58,0,1597788.79282729,5319434.50349354,"Slope",1112,"unfenced","natural"
"H1",2016,"Herbaceous","Native",44,44,0,1597788.79282729,5319434.50349354,"Slope",1112,"unfenced","natural"
"H1",2007,"Herbaceous","Native",15,15,0,1597788.79282729,5319434.50349354,"Slope",1112,"unfenced","natural"
"H1",2007,"Woody","Native",6,6,0,1597788.79282729,5319434.50349354,"Slope",1112,"unfenced","natural"
"H1",2016,"Woody","Native",5,5,0,1597788.79282729,5319434.50349354,"Slope",1112,"unfenced","natural"
"H2",2007,"Woody","Exotic",28,13,15,1597869.79152907,5319634.4242086,"Slope",1013,"unfenced","natural"
"H2",2016,"Herbaceous","Exotic",156,156,0,1597869.79152907,5319634.4242086,"Slope",1013,"unfenced","natural"
"H2",2007,"Herbaceous","Native",16,16,0,1597869.79152907,5319634.4242086,"Slope",1013,"unfenced","natural"
"H2",2007,"Herbaceous","Exotic",97,97,0,1597869.79152907,5319634.4242086,"Slope",1013,"unfenced","natural"
"H2",2016,"Herbaceous","Native",53,53,0,1597869.79152907,5319634.4242086,"Slope",1013,"unfenced","natural"
"H2",2016,"Woody","Exotic",119,52,67,1597869.79152907,5319634.4242086,"Slope",1013,"unfenced","natural"
"H3",2016,"Woody","Native",21,21,0,1597951.79452971,5319869.33279806,"Slope",1001,"unfenced","natural"
"H3",2016,"Woody","Exotic",1,1,0,1597951.79452971,5319869.33279806,"Slope",1001,"unfenced","natural"
"H3",2007,"Herbaceous","Native",63,63,0,1597951.79452971,5319869.33279806,"Slope",1001,"unfenced","natural"
"H3",2007,"Herbaceous","Exotic",64,64,0,1597951.79452971,5319869.33279806,"Slope",1001,"unfenced","natural"
"H3",2016,"Herbaceous","Exotic",70,70,0,1597951.79452971,5319869.33279806,"Slope",1001,"unfenced","natural"
"H3",2007,"Woody","Native",4,4,0,1597951.79452971,5319869.33279806,"Slope",1001,"unfenced","natural"
"H3",2016,"Herbaceous","Native",78,78,0,1597951.79452971,5319869.33279806,"Slope",1001,"unfenced","natural"
"H4",2016,"Herbaceous","Native",59,59,0,1598018.79367672,5320036.26668638,"Slope",1088,"unfenced","natural"
"H4",2007,"Herbaceous","Native",57,57,0,1598018.79367672,5320036.26668638,"Slope",1088,"unfenced","natural"
"H4",2016,"Herbaceous","Exotic",46,46,0,1598018.79367672,5320036.26668638,"Slope",1088,"unfenced","natural"
"H4",2007,"Herbaceous","Exotic",67,67,0,1598018.79367672,5320036.26668638,"Slope",1088,"unfenced","natural"
"H4",2007,"Woody","Native",26,26,0,1598018.79367672,5320036.26668638,"Slope",1088,"unfenced","natural"
"H4",2007,"Woody","Exotic",1,1,0,1598018.79367672,5320036.26668638,"Slope",1088,"unfenced","natural"
"H4",2016,"Woody","Native",47,47,0,1598018.79367672,5320036.26668638,"Slope",1088,"unfenced","natural"
"HG-1-Fe",2008,"Herbaceous","Exotic",42,42,0,1593003.81358526,5337479.96560696,"Terrace",1005,"fenced","natural"
"HG-1-Fe",2016,"Herbaceous","Exotic",37,37,0,1593003.81358526,5337479.96560696,"Terrace",1005,"fenced","natural"
"HG-1-Fe",2008,"Herbaceous","Native",65,65,0,1593003.81358526,5337479.96560696,"Terrace",1005,"fenced","natural"
"HG-1-Fe",2008,"Woody","Native",51,51,0,1593003.81358526,5337479.96560696,"Terrace",1005,"fenced","natural"
"HG-1-Fe",2016,"Herbaceous","Native",78,76,2,1593003.81358526,5337479.96560696,"Terrace",1005,"fenced","natural"
"HG-1-Fe",2016,"Woody","Native",48,48,0,1593003.81358526,5337479.96560696,"Terrace",1005,"fenced","natural"
"HG-1-Un",2008,"Herbaceous","Exotic",42,42,0,1592955.82945537,5337475.97327671,"Terrace",998,"unfenced","natural"
