####Molesworth Cover scores for randomly located plots established  by NZ Forest Surveys Jan 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"###Plot sizes are: Subplot1- 0.25 m2 (0.5m x 0.5m), Subplot2- 1 m2 (1m x 1m), Subplot3- 4 m2 (2m x 2m), Subplot4- 25 m2 (5m x 5m), Subplot5- 100 m2 (10m x 10m), Subplot6- 400 m2 (20m x 20m)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"##Height tiers are: 1 (0-0.1 m high); 2 (0.1-0.3); 3 (0.3-1); 4 (1-2), 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###Some duplicted species entries removed manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transect,Plot No.,Species,Subplot1.Tier1,Subplot1.Tier2,Subplot1.Tier3,Subplot1.Tier4,Subplot1.Tier5,Subplot1.Tier6,Subplot2.Tier1,Subplot2.Tier2,Subplot2.Tier3,Subplot2.Tier4,Subplot2.Tier5,Subplot2.Tier6,Subplot3.Tier1,Subplot3.Tier2,Subplot3.Tier3,Subplot3.Tier4,Subplot3.Tier5,Subplot3.Tier6,Subplot4.Tier1,Subplot4.Tier2,Subplot4.Tier3,Subplot4.Tier4,Subplot4.Tier5,Subplot4.Tier6,Subplot5.Tier1,Subplot5.Tier2,Subplot5.Tier3,Subplot5.Tier4,Subplot5.Tier5,Subplot5.Tier6,Subplot6.Tier1,Subplot6.Tier2,Subplot6.Tier3,Subplot6.Tier4,Subplot6.Tier5,Subplot6.Tier6,BrowserSpecies,BrowserIntensity
A,1,HIEPIL,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
A,1,HYPRAD,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,1,KELDIE,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,1,LEUFRA,,,,,,,1,,,,,,1,,,,,,1,,,,,,2,,,,,,1,,,,,,,
A,1,LITTER,3,,,,,,2,,,,,,3,,,,,,2,,,,,,2,,,,,,2,,,,,,,
A,1,LUZRUF,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,1,LYCFAS,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,1,MOSS,1,,,,,,2,,,,,,2,,,,,,1,,,,,,2,,,,,,2,,,,,,,
A,1,OLENUM,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
A,1,OZOVAU,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
A,1,PIMORE,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
A,1,POACOL,3,,,,,,3,,,,,,3,,,,,,2,,,,,,2,,,,,,2,,,,,,,
A,1,POAPRA,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,1,RAOSUB,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,1,ROCK,0,,,,,,2,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,1,RUMACE,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,1,VEGETATION,6,1,,,,,5,1,,,,,4,2,1,,,,5,4,2,,,,5,4,2,,,,5,4,2,,,,,
A,1,WAHALB,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,2,ACIAUR,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
A,2,ACIMON,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,2,ACRCOL,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,2,ANIARO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
A,2,BARE GROUND,4,,,,,,3,,,,,,2,,,,,,2,,,,,,2,,,,,,1,,,,,,,
A,2,BRABEL,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,2,CELGRA,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,2,CELSPE,1,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,3,,,,,,hare,L
A,2,CELVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
A,2,CHIAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
A,2,CHIPAL,1,1,1,,,,2,3,2,,,,3,3,2,,,,2,3,2,,,,3,3,3,,,,3,4,3,,,,hare,L
A,2,DRAPRO,2,,,,,,2,,,,,,3,2,,,,,2,2,,,,,2,2,,,,,2,2,,,,,,
A,2,DRAPXU,,,,,,,,,,,,,2,2,,,,,2,2,,,,,1,1,,,,,1,1,,,,,,
A,2,DRAROS,,,,,,,,,,,,,,,,,,,2,2,,,,,2,2,2,,,,2,2,2,,,,,
A,2,EPIALS,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,2,FESNOV,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,
A,2,GAUCRA,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
A,2,GAUDEP,2,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,2,HYPRAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
A,2,KELDIE,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,2,LEUFRA,1,,,,,,1,,,,,,2,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,2,LICHEN,1,,,,,,1,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,,
A,2,LITTER,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,2,LUZRUF,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,2,LYCAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
A,2,LYCFAS,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,2,MOSS,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,2,OPHCOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
A,2,PIMORE,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
A,2,POACOL,3,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,3,2,,,,,,
A,2,RAOSUB,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
A,2,ROCK,3,,,,,,3,,,,,,2,,,,,,2,,,,,,2,,,,,,1,,,,,,,
A,2,RYTSP,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,2,VEGETATION,2,,1,,,,4,2,1,,,,5,4,2,,,,5,4,3,,,,5,4,2,,,,5,4,2,,,,,
A,2,WAHALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
A,3,ACIAUR,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,
A,3,ACIMON,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
A,3,ACRCOL,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,
A,3,BARE GROUND,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,3,,,,,,,
A,3,BRABEL,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
A,3,CELGRA,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,3,CELLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
A,3,CELMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
A,3,CELSPE,3,,,,,,3,,,,,,4,,,,,,3,,,,,,3,,,,,,3,,,,,,,
A,3,CELVIS,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
A,3,CHIAUS,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,
A,3,CHIPAL,4,5,3,,,,1,2,1,,,,2,2,2,,,,2,3,3,,,,3,3,3,,,,3,3,3,,,,,
A,3,DRAPRO,,,,,,,2,1,,,,,2,1,,,,,2,1,,,,,3,1,,,,,2,2,,,,,,
A,3,DRAROS,3,2,,,,,2,1,,,,,2,1,,,,,3,2,,,,,2,2,,,,,2,2,,,,,,
A,3,EPIALS,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,3,FESNOV,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,
A,3,GAUCRA,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,
A,3,GAUDEP,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,3,HEBCAN,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,1,1,1,,,,,
A,3,HEBDEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
A,3,HEBPIN,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,
A,3,HYPRAD,2,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,3,KELDIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
A,3,LEUFRA,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,3,LICHEN,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,3,LITTER,1,,,,,,1,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,
A,3,LUZRUF,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,3,LYCFAS,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,3,MOSS,1,,,,,,1,,,,,,2,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,3,MYRNUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
A,3,OLENUM,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,
A,3,OZOVAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
A,3,PIMORE,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
A,3,POACOL,2,2,,,,,1,1,,,,,1,1,,,,,2,1,,,,,2,1,,,,,2,1,,,,,,
A,3,RAOGRA,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
A,3,RAOSUB,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,3,ROCK,3,,,,,,3,,,,,,2,,,,,,2,,,,,,1,,,,,,1,,,,,,,
A,3,RUMACE,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,3,VEGETATION,4,3,2,,,,5,3,2,,,,5,3,1,,,,5,4,2,,,,5,4,2,,,,5,4,2,,,,,
A,3,WAHALB,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,4,ACIAUR,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,4,ACRCOL,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,
A,4,BARE GROUND,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,
A,4,CELGRA,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,4,CELLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
A,4,CELSPE,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,,
A,4,CHIAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
A,4,CHIPAL,1,1,1,,,,1,1,1,,,,1,1,1,,,,2,3,3,,,,3,4,4,,,,3,4,4,,,,,
A,4,DRAPRO,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,4,DRAROS,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,1,,,,2,1,1,,,,,
A,4,EPIALS,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,4,FESNOV,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,
A,4,GAUDEP,2,,,,,,3,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,,
A,4,HYPRAD,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
A,4,LEUFRA,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,4,LICHEN,2,,,,,,2,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,
A,4,LITTER,2,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
A,4,LUZRUF,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,4,LYCFAS,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,4,MOSS,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
A,4,PIMORE,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,4,POACOL,1,,,,,,1,,,,,,1,,,,,,1,,,,,,2,,,,,,2,,,,,,,
A,4,POAPRA,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
A,4,RAOSUB,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,4,ROCK,3,,,,,,2,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,
A,4,RUMACE,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,4,VEGETATION,6,1,,,,,5,3,2,,,,5,2,1,,,,5,3,1,,,,5,3,1,,,,5,3,1,,,,,
A,4,WAHALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
B,1,AGRCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
B,1,BARE GROUND,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,1,CELGRA,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,1,CELSPE,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,1,,,,,,,
B,1,CELVIS,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
B,1,CHIPAL,,,,,,,,,,,,,1,1,,,,,3,3,,,,,3,2,,,,,2,1,,,,,hare,L
B,1,DRAPRO,,,,,,,,,,,,,2,,,,,,3,,,,,,2,2,,,,,2,1,,,,,,
B,1,EPIGLA,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,1,FESNOV,3,3,,,,,3,2,,,,,2,2,,,,,2,2,,,,,2,2,,,,,1,1,,,,,,
B,1,GRASP,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,1,HIECAE,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,1,HIEPIL,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,1,HYPRAD,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
B,1,LEUFRA,1,,,,,,1,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,,
B,1,LITTER,3,,,,,,4,,,,,,2,,,,,,2,,,,,,2,,,,,,1,,,,,,,
B,1,LOBROU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
B,1,LUZRUF,1,1,,,,,1,1,,,,,2,1,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,
B,1,LYCFAS,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,1,MOSS,2,,,,,,3,,,,,,3,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,1,MUEAXI,2,,,,,,2,,,,,,3,,,,,,2,,,,,,1,,,,,,1,,,,,,,
B,1,PIMORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
B,1,POACOL,3,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,2,,,,,,,
B,1,ROCK,2,,,,,,1,,,,,,1,,,,,,1,,,,,,4,,,,,,5,,,,,,,
B,1,RUMACE,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,1,RYTSET,2,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,,
B,1,VEGETATION,6,,,,,,5,,,,,,5,,,,,,5,,,,,,4,,,,,,4,,,,,,,
B,1,VIOCUN,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,1,WAHALB,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,2,ACAPRO,3,,,,,,3,,,,,,2,,,,,,2,,,,,,1,,,,,,1,,,,,,,
B,2,ARIFRU,,,,,,,1,2,,,,,3,3,,,,,3,3,,,,,2,3,,,,,2,2,,,,,,
B,2,BARE GROUND,0,,,,,,0,,,,,,0,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,2,CHIPAL,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,1,1,,,,,
B,2,DRAROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
B,2,EPICHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
B,2,EPIGLA,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,
B,2,FESNOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
B,2,HEBCRY,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,1,,,,,2,1,,,,,,
B,2,HEBPIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
B,2,HIECAE,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
B,2,HIESP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
B,2,LICHEN,1,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,3,,,,,,,
B,2,LITTER,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,2,LUZRUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
B,2,LYCAUS,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,2,LYCFAS,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,2,MELALP,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,2,MOSS,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,2,MYCMUR,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,,
B,2,MYRNUM,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,2,OLECYM,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,
B,2,POACOL,2,,,,,,2,,,,,,2,,,,,,1,,,,,,2,,,,,,2,,,,,,,
B,2,POASP,1,,,,,,1,,,,,,2,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,2,PODNIV,3,5,,,,,4,6,,,,,3,5,,,,,4,6,,,,,4,6,,,,,4,6,,,,,,
B,2,POLCYS,,,,,,,,,,,,,1,,,,,,2,1,,,,,1,1,,,,,1,1,,,,,,
B,2,RANINS,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,
B,2,ROCK,2,,,,,,1,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,,
B,2,RUMACE,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,2,UNCSP,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,2,VEGETATION,6,,,,,,6,,,,,,6,,,,,,6,,,,,,6,,,,,,6,,,,,,,
B,3,ACAPRO,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,3,ACRCOL,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,1,1,,,,,,
B,3,AGRCAP,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,3,ANIARO,3,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,1,,,,,,,
B,3,ANIFIL,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,
B,3,ARIFRU,,,,,,,,,,,,,2,1,,,,,2,2,2,,,,2,1,1,,,,1,1,1,,,,,
B,3,BARE GROUND,0,,,,,,0,,,,,,0,,,,,,0,,,,,,1,,,,,,1,,,,,,,
B,3,BLEPEN,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,3,CELGRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
B,3,CELSPE,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
B,3,CERFON,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,3,COPCHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
B,3,EPICHL,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,,,,,,,
B,3,EPISP,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,3,FESNOV,3,2,,,,,2,1,,,,,2,1,,,,,2,1,,,,,1,1,,,,,1,1,,,,,,
B,3,FESRUB,2,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,
B,3,GALPRO,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,3,GAUDEP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,
B,3,HEBCHE,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
B,3,HEBDEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,
B,3,HEBSP,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,1,,,,,
B,3,HIECAE,1,,,,,,1,,,,,,1,,,,,,2,,,,,,1,,,,,,1,,,,,,,
B,3,HIEPIL,4,,,,,,3,,,,,,3,,,,,,3,,,,,,2,,,,,,1,,,,,,,
B,3,HYDMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
B,3,HYPRAD,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
B,3,LEUFRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
